Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0241.HK,0267.HK,0288.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0883.HK,0939.HK,0941.HK,0960.HK,1038.HK,1044.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1810.HK,1876.HK,1928.HK,1997.HK,2007.HK,2020.HK,2269.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3690.HK,3988.HK,6862.HK,9988.HK,2018.HK,3328.HK
2015-01-02,69.0327377319336,46.94594955444336,8.162969589233398,48.568660736083984,39.710391998291016,92.9367904663086,23.827899932861328,80.1585693359375,22.354825973510742,39.26387023925781,22.780065536499023,15.639058113098145,2.187687873840332,5.110000133514404,9.353827476501465,3.5105245113372803,3.403489828109741,141.1895294189453,22.26762580871582,17.762943267822266,110.27604675292969,8.164200782775879,35.9864501953125,6.232812404632568,6.131409645080566,4.102907180786133,60.40032958984375,7.932764530181885,40.79668045043945,56.485511779785156,3.0874361991882324,16.43838119506836,,1.9123843908309937,39.048973083496094,3.6176929473876953,,,27.485107421875,,1.9760218858718872,12.04636287689209,,22.275699615478516,33.58186721801758,15.005998611450195,12.374324798583984,18.524452209472656,24.82466697692871,,2.6510136127471924,,,36.53681564331055,4.3061113357543945
2015-01-05,68.35133361816406,46.14314651489258,8.07104206085205,47.8466911315918,39.044559478759766,91.78853607177734,23.502382278442383,79.54975891113281,22.30475425720215,38.164302825927734,22.70865821838379,15.389120101928711,2.322176456451416,4.96999979019165,9.463873863220215,3.5263376235961914,3.4468464851379395,144.6988983154297,22.223358154296875,17.940574645996094,110.96036529541016,8.071949005126953,35.73018264770508,6.268673896789551,6.142956256866455,4.1155314445495605,59.54122543334961,8.166512489318848,40.83256530761719,55.295616149902344,3.068948984146118,17.226520538330078,,1.9069199562072754,38.338191986083984,3.636502981185913,,,27.157032012939453,,2.036266803741455,11.939441680908203,,22.099956512451172,33.23836898803711,14.818717002868652,12.486818313598633,18.31111717224121,24.192190170288086,,2.6569983959198,,,36.669830322265625,4.212244987487793
2015-01-06,66.56916046142578,45.72432327270508,7.988308906555176,47.09190368652344,38.9113883972168,91.07087707519531,23.198564529418945,78.8733139038086,22.279722213745117,36.51493835449219,22.494421005249023,15.174881935119629,2.3580408096313477,5.0,9.340072631835938,3.5184309482574463,3.3818109035491943,144.9437255859375,22.04627799987793,17.691892623901367,117.31493377685547,8.118075370788574,35.47393035888672,6.118052959442139,5.94666051864624,4.058722019195557,58.64910125732422,8.166512489318848,41.083736419677734,54.70066452026367,3.0874361991882324,16.701095581054688,,1.9123843908309937,37.316429138183594,3.5800743103027344,,,26.209272384643555,,2.0121686458587646,12.153285026550293,,22.671125411987305,32.36952590942383,14.795306205749512,12.355576515197754,18.062231063842773,23.480655670166016,,2.639045476913452,,,36.935882568359375,4.1242451667785645
2015-01-07,65.99256896972656,45.968650817871094,8.015889167785645,46.59965896606445,39.49732971191406,90.8555679321289,23.176864624023438,79.95562744140625,22.505027770996094,38.164302825927734,22.637245178222656,15.139176368713379,2.3849387168884277,4.96999979019165,9.312560081481934,3.5105245113372803,3.3818109035491943,146.33114624023438,22.04627799987793,17.62083625793457,121.61649322509766,8.179576873779297,35.583744049072266,6.146744251251221,5.935111045837402,4.090282917022705,60.63162612915039,8.064245223999023,41.0119743347168,53.96571731567383,3.1336557865142822,16.888748168945312,,1.9834152460098267,37.36084747314453,3.6051535606384277,,,27.0112247467041,,1.9579493999481201,12.028544425964355,,22.583255767822266,32.51095962524414,15.052820205688477,11.793106079101562,18.20445442199707,23.55971336364746,,2.662982225418091,,,36.58115005493164,4.036245346069336
2015-01-08,65.83531188964844,46.14314651489258,8.153777122497559,46.73092269897461,40.18979263305664,91.07087707519531,23.090055465698242,80.1585693359375,22.705293655395508,37.56870651245117,23.030006408691406,15.210591316223145,2.4387340545654297,5.0,9.408849716186523,3.4868037700653076,3.3980703353881836,145.10693359375,22.090547561645508,17.15900421142578,124.45160675048828,8.179576873779297,35.2908821105957,6.297363758087158,6.039033889770508,4.071346759796143,61.85414505004883,7.9035468101501465,42.196048736572266,55.295616149902344,3.0735702514648438,16.43838119506836,,2.0407867431640625,37.93836975097656,3.586343765258789,,,27.084131240844727,,1.9338513612747192,12.082003593444824,,22.934743881225586,33.09693145751953,15.35715389251709,11.005650520324707,18.240007400512695,23.678306579589844,,2.6510136127471924,,,39.06424331665039,4.012779712677002
2015-01-09,65.41598510742188,46.63181686401367,8.144583702087402,46.665283203125,39.97672653198242,91.14266204833984,23.11176109313965,80.56444549560547,22.730323791503906,36.78984069824219,23.208534240722656,15.067768096923828,2.501495599746704,4.989999771118164,9.450119018554688,3.5184309482574463,3.3655526638031006,144.45404052734375,22.356164932250977,17.407684326171875,124.35382080078125,8.61008071899414,35.437320709228516,6.318881034851074,6.131409645080566,4.071346759796143,62.812374114990234,8.064245223999023,42.44721221923828,55.99555969238281,3.1891188621520996,16.55097198486328,,2.196509838104248,38.160484313964844,3.59261417388916,,,26.828960418701172,,1.9519234895706177,11.921624183654785,,23.330171585083008,33.602073669433594,15.591256141662598,10.55567455291748,18.631118774414062,24.0736026763916,,2.6569983959198,,,40.483150482177734,3.977579355239868
2015-01-12,75.0606689453125,46.87614059448242,8.052657127380371,46.665283203125,40.509395599365234,91.93207550048828,23.198564529418945,80.83500671386719,22.905559539794922,35.69026565551758,23.49417495727539,15.139176368713379,2.609086513519287,4.980000019073486,9.422606468200684,3.4868037700653076,3.3655526638031006,145.75985717773438,22.666051864624023,17.230051040649414,124.25607299804688,8.533204078674316,35.76679611206055,6.290192127227783,6.142956256866455,4.039785385131836,62.68020248413086,8.064245223999023,42.73426818847656,56.31052780151367,3.1336557865142822,16.475910186767578,,2.160993814468384,38.20490264892578,3.561264991760254,,,26.646696090698242,,1.9278262853622437,11.850342750549316,,23.1544246673584,33.35961151123047,15.778536796569824,10.630670547485352,18.560009002685547,24.034072875976562,,2.627077102661133,,,39.81803512573242,3.9541120529174805
2015-01-13,75.16549682617188,47.085567474365234,8.089427947998047,46.79656219482422,40.64255905151367,92.79325103759766,23.198564529418945,83.60842895507812,22.98065948486328,36.65239334106445,23.958345413208008,15.281999588012695,2.680814266204834,5.050000190734863,9.47762680053711,3.4630849361419678,3.3926503658294678,146.41273498535156,22.090547561645508,17.15900421142578,124.94041442871094,8.825331687927246,36.535579681396484,6.304536819458008,6.039033889770508,4.046097755432129,64.36534118652344,8.020418167114258,42.98543167114258,56.55550765991211,3.17063045501709,15.837895393371582,,2.185581684112549,39.00455093383789,3.5800743103027344,,,27.26639175415039,,1.9458997249603271,12.188923835754395,,24.077089309692383,33.521240234375,15.919001579284668,10.161945343017578,18.595563888549805,24.231721878051758,,2.633061170578003,,,41.946388244628906,3.989312171936035
2015-01-14,74.64131164550781,47.29499435424805,8.061851501464844,46.5012092590332,40.962162017822266,93.22384643554688,23.13345718383789,81.98495483398438,23.05575942993164,36.69821548461914,23.56558609008789,15.174881935119629,2.5821890830993652,5.179999828338623,9.381338119506836,3.4868037700653076,3.376391887664795,145.18853759765625,22.134815216064453,17.54978370666504,123.1806869506836,8.932957649230957,36.79184341430664,6.261501312255859,5.992846965789795,4.033473014831543,63.770572662353516,7.874326705932617,42.91366195678711,56.34552764892578,3.1844961643218994,15.87541675567627,,2.185581684112549,39.09339141845703,3.561264991760254,,,27.37574577331543,,1.9218018054962158,12.028544425964355,,24.428577423095703,33.682899475097656,15.755128860473633,10.424431800842285,18.631118774414062,24.152660369873047,,2.639045476913452,,,41.19259262084961,3.959979772567749
2015-01-15,74.74614715576172,47.43461990356445,8.153777122497559,46.337127685546875,41.76116943359375,93.8697509765625,23.458974838256836,82.66140747070312,23.00568962097168,36.78984069824219,23.81552505493164,15.139176368713379,2.6180529594421387,5.380000114440918,9.491385459899902,3.3919248580932617,3.403489828109741,145.4333953857422,21.64785385131836,17.940574645996094,124.060546875,8.948333740234375,37.30436706542969,6.3547444343566895,6.039033889770508,4.071346759796143,64.72877502441406,7.888936519622803,43.05718994140625,56.94048309326172,3.166008949279785,16.17566680908203,,2.158261775970459,39.98189163208008,3.598883628845215,,,27.77672576904297,,1.9218018054962158,12.028544425964355,,23.901342391967773,35.01647186279297,16.01264190673828,10.7431640625,18.91556739807129,25.02231216430664,,2.6749508380889893,,,40.52748489379883,4.030379295349121
