Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0267.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1109.HK,1113.HK,1299.HK,1398.HK,1928.HK,2318.HK,2319.HK,2388.HK,2628.HK,3988.HK,2018.HK,3328.HK,0019.HK,1088.HK,0151.HK,0083.HK,0836.HK,0144.HK,0023.HK,0992.HK,0004.HK,0135.HK,0293.HK
2012-01-03,40.322628021240234,41.03148651123047,5.893864631652832,34.6811637878418,27.671615600585938,58.92084884643555,13.420380592346191,61.267494201660156,13.691082954406738,12.930935859680176,16.71462059020996,15.114492416381836,1.4939719438552856,8.671615600585938,3.1461641788482666,95.02005004882812,8.705538749694824,30.8106689453125,12.382308006286621,18.446918487548828,6.492186546325684,7.317705154418945,2.9785447120666504,45.588470458984375,29.731538772583008,49.5608024597168,8.971051216125488,,21.10523796081543,2.5443642139434814,14.84041690826416,20.484189987182617,8.795873641967773,11.623014450073242,15.195646286010742,1.4589959383010864,14.820703506469727,2.873656749725342,59.11882400512695,12.98059368133545,6.151672840118408,6.804254531860352,9.245464324951172,13.38426399230957,19.33979034423828,3.2703707218170166,5.168652057647705,6.181041717529297,11.81596565246582
2012-01-04,40.30113983154297,41.09346389770508,5.913510799407959,34.623878479003906,27.743240356445312,59.10951614379883,13.336291313171387,60.95931625366211,13.985509872436523,13.038692474365234,16.616104125976562,15.147562980651855,1.5026074647903442,8.584651947021484,3.0877673625946045,94.64388275146484,8.598060607910156,30.771923065185547,12.234724998474121,18.381620407104492,6.569321632385254,7.369455814361572,2.9623565673828125,44.76066589355469,29.861230850219727,48.87199401855469,8.758803367614746,,21.019439697265625,2.5175812244415283,15.004219055175781,20.01374053955078,9.231085777282715,11.498841285705566,14.860673904418945,1.444057822227478,15.054892539978027,2.791109561920166,50.8314208984375,12.683043479919434,5.929418563842773,6.911877155303955,9.133774757385254,13.61111831665039,18.686420440673828,3.2953360080718994,5.284474849700928,6.191904544830322,11.536297798156738
2012-01-05,40.1507568359375,41.124454498291016,5.933156967163086,34.76708221435547,27.743240356445312,59.04661178588867,13.235386848449707,61.020957946777344,13.964481353759766,12.64358139038086,16.616104125976562,15.114492416381836,1.511243224143982,8.435569763183594,3.157114028930664,93.9667739868164,8.383111000061035,30.500627517700195,12.278999328613281,18.446918487548828,6.672168254852295,7.576463222503662,2.973148822784424,45.381526947021484,29.439746856689453,48.87199401855469,8.758803367614746,,21.062339782714844,2.5390076637268066,14.742135047912598,19.994136810302734,9.024930953979492,11.486421585083008,14.70841121673584,1.4540163278579712,15.50654411315918,2.811746597290039,50.54673385620117,12.738834381103516,5.921481132507324,6.744459629058838,9.220643997192383,13.639474868774414,18.7844295501709,3.370229721069336,5.313432216644287,6.083275318145752,11.606216430664062
2012-01-06,39.35590362548828,41.217430114746094,5.9659013748168945,34.07976150512695,27.552236557006836,58.41779708862305,13.016758918762207,60.52785110473633,13.985509872436523,12.446023941040039,16.419071197509766,15.048347473144531,1.5026074647903442,8.398298263549805,3.2155113220214844,91.78498077392578,8.329371452331543,29.938671112060547,12.116656303405762,18.414268493652344,6.826436519622803,7.804171562194824,2.9299817085266113,44.701541900634766,29.342470169067383,47.461605072021484,8.54655647277832,,20.71916389465332,2.5229380130767822,14.545572280883789,19.092443466186523,9.043255805969238,11.399497985839844,14.31253433227539,1.424139380455017,14.887611389160156,2.754995584487915,47.73154830932617,12.366898536682129,5.7944793701171875,6.792294025421143,9.108954429626465,13.52604866027832,18.457738876342773,3.4825706481933594,5.3568644523620605,6.083275318145752,11.518817901611328
2012-01-09,39.93594741821289,41.18643569946289,6.024839401245117,34.509334564208984,27.647741317749023,59.20383071899414,13.252202987670898,60.52785110473633,14.174788475036621,12.64358139038086,16.45191192626953,15.180638313293457,1.545785903930664,8.55980396270752,3.2483596801757812,91.93548583984375,8.557757377624512,30.074317932128906,12.338032722473145,18.479570388793945,6.9549946784973145,7.918026447296143,2.9893364906311035,45.52934646606445,29.763961791992188,47.724002838134766,8.716354370117188,,20.50467872619629,2.5925731658935547,14.643858909606934,19.73931312561035,9.25399112701416,11.523674964904785,14.46479606628418,1.4689549207687378,15.054892539978027,2.8633384704589844,49.0916862487793,12.943401336669922,5.873856067657471,6.708586692810059,9.29510498046875,14.093181610107422,19.24178123474121,3.7384583950042725,5.3568644523620605,6.181041717529297,11.798486709594727
2012-01-10,40.43003845214844,41.34138488769531,6.0117411613464355,34.28023147583008,27.767118453979492,58.70075988769531,13.437196731567383,60.651123046875,14.385099411010742,12.966851234436035,16.583269119262695,15.478297233581543,1.6321429014205933,8.57222843170166,3.2921578884124756,92.68780517578125,8.759276390075684,31.23698616027832,12.131414413452148,18.414268493652344,6.903572082519531,7.855922698974609,3.0378997325897217,45.52934646606445,29.699113845825195,47.363216400146484,8.914454460144043,,20.590471267700195,2.640781879425049,15.135259628295898,20.366580963134766,9.153205871582031,11.685101509094238,14.814996719360352,1.48887300491333,15.941457748413086,2.9304075241088867,48.8070182800293,13.09217643737793,5.929418563842773,6.780334949493408,9.257875442504883,14.093181610107422,18.947771072387695,3.6760473251342773,5.465450286865234,6.181041717529297,12.060673713684082
2012-01-11,40.77375793457031,40.84553909301758,5.959352493286133,34.623878479003906,27.38510513305664,58.22914123535156,13.571737289428711,61.05177307128906,15.163241386413574,13.12848949432373,16.48474884033203,15.478297233581543,1.735770583152771,8.584651947021484,3.2848587036132812,92.53734588623047,9.041398048400879,32.399654388427734,11.703421592712402,18.34897804260254,7.006419658660889,7.9594268798828125,3.054086923599243,45.67717361450195,29.796390533447266,47.10081481933594,9.055951118469238,,20.547578811645508,2.694347858428955,15.593903541564941,20.366580963134766,9.116555213928223,11.883787155151367,15.028158187866211,1.5137704610824585,16.142189025878906,2.997476816177368,49.3131217956543,12.9248046875,6.151672840118408,6.828168869018555,9.381976127624512,14.490164756774902,19.14377784729004,3.626117467880249,5.422016143798828,6.32226037979126,12.078154563903809
2012-01-12,41.031551361083984,40.19473648071289,5.9069623947143555,34.194313049316406,27.00310516357422,58.6693000793457,13.622185707092285,61.29832077026367,15.163241386413574,13.254206657409668,16.583269119262695,15.742884635925293,1.7444064617156982,8.609498977661133,3.241060495376587,93.2144546508789,9.095135688781738,32.49654006958008,11.18687629699707,18.283676147460938,6.9292826652526855,7.773121356964111,3.0810673236846924,45.381526947021484,29.01824378967285,47.035221099853516,9.112552642822266,,20.676265716552734,2.7050604820251465,15.39734172821045,20.405780792236328,8.896659851074219,12.094891548156738,15.058613777160645,1.5336883068084717,15.10507583618164,2.976840019226074,49.281490325927734,12.88761043548584,6.04054594039917,6.887960433959961,9.555715560913086,14.234959602355957,19.14377784729004,3.6448404788970947,5.610229969024658,6.311397075653076,12.217988967895508
2012-01-13,41.22489547729492,39.72987747192383,5.8742170333862305,34.39478302001953,26.859848022460938,58.6693000793457,13.622185707092285,61.94550323486328,15.184268951416016,13.775035858154297,16.648942947387695,16.007471084594727,1.753042221069336,8.621920585632324,3.2483596801757812,92.7630615234375,9.22948169708252,32.961605072021484,11.18687629699707,18.577524185180664,7.057840347290039,7.804171562194824,3.097254753112793,45.02675247192383,28.01314353942871,46.47760772705078,9.409700393676758,,20.50467872619629,2.7586264610290527,15.659422874450684,20.641008377075195,8.951634407043457,12.29357624053955,15.264164924621582,1.5785040855407715,15.807638168334961,3.0077950954437256,49.37637710571289,12.701640129089355,6.119921684265137,6.887960433959961,9.766687393188477,14.14988899230957,19.111112594604492,3.750941038131714,5.791206359863281,6.365711212158203,12.217988967895508
2012-01-16,40.75227355957031,39.203041076660156,5.8414740562438965,34.165672302246094,26.477846145629883,58.88941192626953,13.521284103393555,61.88388442993164,15.058087348937988,13.864832878112793,16.583269119262695,15.775959968566895,1.7098637819290161,8.51010799407959,3.168063163757324,91.8602523803711,9.1220064163208,32.961605072021484,10.655573844909668,18.642820358276367,6.993563652038574,7.679969310760498,3.0918588638305664,44.376338958740234,28.07798194885254,45.95280838012695,9.140851974487305,,20.590471267700195,2.7586264610290527,15.954268455505371,20.13135528564453,9.153205871582031,12.231487274169922,14.754091262817383,1.5735247135162354,15.556723594665527,2.981999397277832,49.47126388549805,12.515674591064453,5.992920398712158,6.768377780914307,9.704636573791504,14.121532440185547,18.980440139770508,3.6573233604431152,5.631948947906494,6.333123683929443,12.025716781616211
