Security,Unnamed: 1,Imputed Share Price,Prev Shares,Current Shares,Change (Percent),Prev Value (USD x1000),Current Value (USD x1000),Change (Percent).1,symbol
"UPS / United Parcel Service, Inc. - Class B",,207.96,59400.0,59400,0.0,10097.0,12353,22.34,UPS
JNJ / Johnson & Johnson,,164.74,327100.0,327100,0.0,53759.0,53886,0.24,JNJ
PG / Procter & Gamble Co.,,134.93,315400.0,315400,0.0,42715.0,42557,-0.37,PG
KHC / Kraft Heinz Co,,40.78,325634818.0,325634818,0.0,13025393.0,13279388,1.95,KHC
AXP / American Express Co.,,165.23,151610700.0,151610700,0.0,21443817.0,25050635,16.82,AXP
AXTA / Axalta Coating Systems Ltd,,,13887037.0,0,-100.0,410779.0,0,-100.0,AXTA
BAC / Bank Of America Corp.,,41.23,1010100606.0,1010100606,0.0,39080793.0,41646448,6.57,BAC
ABBV / Abbvie Inc,,112.64,22868178.0,20527861,-10.23,2474794.0,2312258,-6.57,ABBV
VRSN / Verisign Inc.,,227.69,12815613.0,12815613,0.0,2547231.0,2917987,14.56,VRSN
TMUS / T-Mobile US Inc,,144.83,5242000.0,5242000,0.0,656770.0,759199,15.6,TMUS
RH / RH - Class A,,679.0,1756448.0,1791967,2.02,1047897.0,1216746,16.11,RH
LBTYK / Liberty Global plc - Class C,,27.04,7346968.0,1876522,-74.46,187642.0,50741,-72.96,LBTYK
USB / U.S. Bancorp,,56.97,129687084.0,128888906,-0.62,7172993.0,7342802,2.37,USB
STOR / Store Capital Corp,,34.51,24415168.0,24415168,0.0,817909.0,842568,3.01,STOR
KR / Kroger Co.,,38.31,51060296.0,61787910,21.01,1837660.0,2367094,28.81,KR
MRK / Merck & Co Inc,,77.77,17882388.0,9157192,-48.79,1378553.0,712155,-48.34,MRK
DVA / DaVita Inc,,120.43,36095570.0,36095570,0.0,3890020.0,4346990,11.75,DVA
OGN / Organon & Co.,,30.26,,1550481,,,46918,,OGN
"LSXMK / Liberty Media, Sirius XM Group Series C",,46.39,43208291.0,43208291,0.0,1905918.0,2004432,5.17,LSXMK
VOO / Vanguard 500 Index Fund,,393.51,43000.0,43000,0.0,15665.0,16921,8.02,VOO
"LSXMA / Liberty Media, Sirius XM Group Series A",,46.58,14860360.0,14860360,0.0,655045.0,692195,5.67,LSXMA
GL / Globe Life Inc,,95.25,6353727.0,6353727,0.0,613961.0,605193,-1.43,GL
"MMC / Marsh & McLennan Cos., Inc.",,140.68,5287526.0,4196692,-20.63,644021.0,590391,-8.33,MMC
LILAK / Liberty Latin America Ltd - Class C,,14.1,1284020.0,1284020,0.0,16667.0,18105,8.63,LILAK
AON / Aon plc. - Class A,,238.76,4096146.0,4396000,7.32,942564.0,1049589,11.35,AON
LBRDA / Liberty Broadband Corp - Series A,,721.45,5213461.0,5213461,0.0,3216810.0,3761251,16.92,LBRDA
MDLZ / Mondelez International Inc. - Class A,,62.44,578000.0,578000,0.0,33830.0,36090,6.68,MDLZ
LILA / Liberty Latin America Ltd - Class A,,13.86,2630792.0,2630792,0.0,33753.0,36463,8.03,LILA
SPY / SPDR S&P 500 ETF Trust,,428.07,39400.0,39400,0.0,15615.0,16866,8.01,SPY
BIIB / Biogen Inc,,,643022.0,0,-100.0,179885.0,0,-100.0,BIIB
VZ / Verizon Communications Inc,,56.03,158824575.0,158824575,0.0,9235649.0,8898941,-3.65,VZ
BK / Bank Of New York Mellon Corp,,51.23,72357453.0,72357453,0.0,3421785.0,3706871,8.33,BK
AAPL / Apple Inc,,136.96,887135554.0,887135554,0.0,108363609.0,121502087,12.12,AAPL
STNE / StoneCo Ltd - Class A,,67.06,10695448.0,10695448,0.0,654775.0,717237,9.54,STNE
TEVA / Teva Pharmaceutical Industries Ltd.,,9.9,42789295.0,42789295,0.0,493789.0,423615,-14.21,TEVA
KO / Coca Cola Co.,,54.11,400000000.0,400000000,0.0,21083999.0,21644001,2.66,KO
MA / Mastercard Incorporated - Class A,,365.09,4564756.0,4564756,0.0,1625281.0,1666547,2.54,MA
SIRI / Sirius XM Holdings Inc,,6.54,43658800.0,43658800,0.0,265882.0,285529,7.39,SIRI
WFC / Wells Fargo & Co.,,45.29,675054.0,675054,0.0,26374.0,30573,15.92,WFC
BMY / Bristol-Myers Squibb Co.,,66.82,31032227.0,26294266,-15.27,1959064.0,1756983,-10.32,BMY
LBTYA / Liberty Global plc - Class A,,,3359831.0,0,-100.0,86213.0,0,-100.0,LBTYA
SNOW / Snowflake Inc - Class A,,241.8,6125376.0,6125376,0.0,1404426.0,1481116,5.46,SNOW
CVX / Chevron Corp.,,104.74,23672271.0,23123920,-2.32,2480617.0,2421999,-2.36,CVX
V / Visa Inc - Class A,,233.82,9987460.0,9987460,0.0,2114645.0,2335268,10.43,V
MCO / Moody's Corporation,,362.37,24669778.0,24669778,0.0,7366643.0,8939587,21.35,MCO
GM / General Motors Company,,59.17,67000000.0,60000000,-10.45,3849820.0,3550200,-7.78,GM
AMZN / Amazon.com Inc.,,3440.16,533300.0,533300,0.0,1650073.0,1834637,11.19,AMZN
