Date,AXP,KHC,LSXMA,MCK,CVX,VRSN,TMUS,RH,JNJ,USB,BK,STOR,OXY,KR,LSXMK,GM,GL,FWONK,MMC,LILAK,MDLZ,LILA,SPY,UPS,FND,MA,LBRDA,SNOW,KO,STNE,AAPL,VOO,ATVI,DVA,PARA,ALLY,HPQ,BAC,C,CE,V,MCO,PG,AON,MKL,AMZN
2020-04-20 00:00:00,80.68928527832031,25.62281608581543,29.921337127685547,137.11581420898438,72.74160766601562,210.89999389648438,89.94000244140625,124.51000213623047,140.22523498535156,30.456472396850586,32.94261169433594,,12.406187057495117,30.040327072143555,30.44247817993164,22.227684020996094,73.7188949584961,25.899999618530273,91.62029266357422,9.887005805969238,50.00732421875,10.226202011108398,268.98846435546875,92.9088363647461,35.599998474121094,247.62962341308594,121.52999877929688,,42.408302307128906,22.43000030517578,67.88285064697266,246.7069091796875,65.78851318359375,77.5199966430664,14.051501274108887,13.614643096923828,13.984326362609863,21.00708770751953,38.910179138183594,70.638671875,160.91900634765625,233.4439239501953,111.29058837890625,180.8919219970703,927.8200073242188,119.68049621582031
2020-04-21 00:00:00,78.2977066040039,25.007936477661133,28.593904495239258,129.25912475585938,71.06169128417969,206.75,87.22000122070312,119.79000091552734,138.3854217529297,29.10483169555664,31.856895446777344,,12.15983772277832,30.266122817993164,28.98721694946289,21.09544563293457,71.68090057373047,25.600000381469727,88.69258117675781,9.482109069824219,47.75423812866211,9.792648315429688,260.8211364746094,92.37635040283203,34.09000015258789,241.35354614257812,119.77999877929688,,41.360164642333984,21.209999084472656,65.7845687866211,239.16831970214844,65.01686096191406,72.52999877929688,13.716509819030762,12.827617645263672,13.128515243530273,20.20414924621582,36.752925872802734,68.25990295410156,157.30319213867188,222.5159912109375,110.44161987304688,173.57595825195312,889.4400024414062,116.40599822998047
2020-04-22 00:00:00,79.27739715576172,25.26267433166504,29.518190383911133,131.9723663330078,73.49888610839844,215.66000366210938,90.16000366210938,127.43000030517578,141.44564819335938,29.567235946655273,32.137367248535156,,12.829910278320312,30.39783477783203,29.783676147460938,21.15503692626953,71.39810943603516,25.799999237060547,90.01293182373047,9.27495288848877,48.82001876831055,9.557022094726562,266.6098937988281,89.6129379272461,34.54999923706055,252.72528076171875,120.8499984741211,,41.63359069824219,23.0,67.67938995361328,244.42916870117188,66.26338195800781,72.41000366210938,13.517325401306152,12.682876586914062,13.465373992919922,20.353530883789062,37.34527587890625,70.15548706054688,163.24136352539062,233.7948455810547,110.18321990966797,176.89784240722656,879.0399780273438,118.17449951171875
2020-04-23 00:00:00,79.20055389404297,25.060644149780273,30.471975326538086,133.28994750976562,75.5531005859375,213.0,90.33999633789062,125.19000244140625,143.77549743652344,29.6739444732666,31.956418991088867,,13.667499542236328,30.934099197387695,30.294984817504883,21.3735408782959,72.99730682373047,27.5,88.58732604980469,9.595104217529297,47.98796463012695,9.792648315429688,266.59075927734375,91.30220031738281,35.61000061035156,251.69235229492188,121.41000366210938,,41.077632904052734,23.18000030517578,67.41710662841797,244.38153076171875,65.1751480102539,73.3499984741211,14.051501274108887,12.936172485351562,13.310603141784668,20.418888092041016,37.539791107177734,72.49710083007812,163.03558349609375,233.96060180664062,110.91802978515625,170.2541046142578,881.4299926757812,119.97250366210938
2020-04-24 00:00:00,79.88249969482422,25.675525665283203,30.127826690673828,136.57899475097656,75.73587036132812,212.1300048828125,90.80000305175781,132.83999633789062,143.17453002929688,30.23416519165039,32.35451126098633,,13.60837459564209,31.009366989135742,30.56047248840332,21.80061149597168,74.17719268798828,27.440000534057617,89.25706481933594,9.632767677307129,48.062747955322266,9.905749320983887,270.3067321777344,91.97239685058594,36.310001373291016,254.54513549804688,122.77999877929688,,41.405738830566406,22.079999923706055,69.3634033203125,247.92689514160156,65.93690490722656,74.0,14.151092529296875,12.936172485351562,13.65656852722168,20.70832061767578,38.10561752319336,73.7990493774414,163.95669555664062,239.0297088623047,110.34207916259766,171.00421142578125,879.5399780273438,120.51100158691406
2020-04-27 00:00:00,81.69778442382812,26.518781661987305,32.30088424682617,139.83876037597656,78.08604431152344,214.22999572753906,90.91000366210938,144.5800018310547,142.6475830078125,31.905941009521484,33.71440505981445,,13.943410873413086,31.310420989990234,32.33038330078125,22.297210693359375,80.18391418457031,29.56999969482422,90.60612487792969,9.77401065826416,48.12818908691406,10.094250679016113,274.2041320800781,94.14822387695312,38.75,260.801513671875,123.8499984741211,,42.63615417480469,23.75,69.41244506835938,251.5103302001953,66.34251403808594,78.94999694824219,15.373353958129883,13.750337600708008,13.683882713317871,21.91272735595703,41.1646842956543,77.3770751953125,168.3074493408203,248.1541748046875,109.10655975341797,168.46163940429688,900.9199829101562,118.80000305175781
2020-04-28 00:00:00,84.70406341552734,26.729595184326172,33.86430740356445,136.9888916015625,78.26013946533203,211.07000732421875,87.94000244140625,148.94000244140625,139.9663848876953,32.59065628051758,34.13425064086914,,14.948519706726074,30.44487953186035,34.2871208190918,22.0290470123291,81.00302124023438,30.030000686645508,89.2283706665039,9.755179405212402,47.83837127685547,10.075401306152344,272.9432678222656,88.52962493896484,39.70000076293945,260.2900085449219,122.5,,42.59970474243164,25.270000457763672,68.28731536865234,250.34767150878906,63.176761627197266,78.61000061035156,15.798885345458984,14.67305850982666,14.129999160766602,22.30485725402832,41.73936080932617,76.74951171875,167.80764770507812,245.68785095214844,108.58634185791016,167.8771514892578,908.1099853515625,115.7040023803711
2020-04-29 00:00:00,92.32061767578125,26.81743621826172,34.87709045410156,136.8913116455078,82.35982513427734,211.38999938964844,89.30999755859375,154.82000732421875,138.90316772460938,34.20017623901367,34.70009994506836,,16.535015106201172,29.654590606689453,35.142574310302734,23.6181583404541,83.26530456542969,32.099998474121094,90.52957153320312,10.433144569396973,47.72618865966797,10.772855758666992,280.08843994140625,88.23583984375,42.77000045776367,279.0690612792969,121.5199966430664,,42.94602966308594,28.040000915527344,70.53022003173828,256.7997741699219,64.09680938720703,81.58999633789062,17.193166732788086,16.301387786865234,14.821930885314941,23.135805130004883,44.43593215942383,80.87079620361328,178.1358184814453,248.56362915039062,108.7628402709961,166.20156860351562,910.8599853515625,118.635498046875
2020-04-30 00:00:00,87.64311218261719,26.641756057739258,33.146507263183594,137.85752868652344,80.07930755615234,209.49000549316406,87.80000305175781,143.77999877929688,138.71826171875,32.4572639465332,34.262027740478516,,16.357643127441406,29.739261627197266,33.500492095947266,22.1382999420166,80.29118347167969,32.189998626708984,93.1224136352539,9.736347198486328,48.09080505371094,10.084826469421387,277.48065185546875,86.9046401977539,42.400001525878906,270.49114990234375,120.0199966430664,,41.824981689453125,26.3799991607666,72.01812744140625,254.5601348876953,63.04814910888672,79.01000213623047,15.626862525939941,14.984841346740723,14.120891571044922,22.454242706298828,42.93292999267578,77.80793762207031,175.12753295898438,237.76243591308594,109.4967269897461,168.64328002929688,865.8400268554688,123.69999694824219
2020-05-01 00:00:00,84.82891082763672,25.807279586791992,32.16322326660156,131.46484375,77.85102081298828,205.02000427246094,86.19999694824219,137.4600067138672,137.10028076171875,31.070053100585938,32.85648727416992,,15.017498016357422,30.068546295166016,32.36479949951172,20.75775909423828,77.9996566772461,31.209999084472656,92.90235900878906,9.566855430603027,47.39897537231445,9.924598693847656,270.13482666015625,84.37076568603516,41.93000030517578,264.3625793457031,122.37000274658203,,41.56067657470703,25.399999618530273,70.85870361328125,247.62191772460938,64.02755737304688,76.51000213623047,14.902556419372559,14.235142707824707,13.392542839050293,21.548603057861328,40.67235565185547,74.2861099243164,172.0408477783203,235.75424194335938,108.52130889892578,174.05406188964844,834.0800170898438,114.302001953125
