Date,UPS,JNJ,PG,KHC,AXP,BAC,ABBV,VRSN,TMUS,RH,LBTYK,USB,STOR,KR,MRK,DVA,OGN,LSXMK,VOO,LSXMA,GL,MMC,LILAK,AON,LBRDA,MDLZ,LILA,SPY,VZ,BK,AAPL,STNE,TEVA,KO,MA,SIRI,WFC,BMY,SNOW,CVX,V,MCO,GM,AMZN
2016-01-04 00:00:00,75.96217346191406,82.85252380371094,63.41332244873047,53.86028289794922,60.3345832824707,14.18481159210205,41.64283752441406,83.94999694824219,38.95000076293945,78.05000305175781,40.22999954223633,32.87295150756836,,35.767303466796875,40.00481033325195,68.66999816894531,,,161.45567321777344,,53.049800872802734,47.628814697265625,38.88888931274414,84.15503692626953,50.4900016784668,37.56917953491211,36.852027893066406,176.5635223388672,32.26475524902344,33.16872024536133,24.074737548828125,,61.410945892333984,33.6303825378418,90.5727310180664,3.5712924003601074,42.87616729736328,54.14240646362305,,65.1279067993164,72.04978942871094,90.058349609375,27.58687400817871,31.84950065612793
2016-01-05 00:00:00,76.715087890625,83.1988296508789,63.61561965942383,54.371463775634766,59.40624237060547,14.18481159210205,41.46934509277344,81.41000366210938,40.220001220703125,77.9800033569336,39.79999923706055,33.031463623046875,,36.57545471191406,40.51555252075195,69.12000274658203,,,161.7447509765625,,53.69973373413086,48.023380279541016,38.305084228515625,84.665283203125,49.880001068115234,37.8780403137207,36.66352462768555,176.8621826171875,32.70789337158203,33.044254302978516,23.47144317626953,,61.937591552734375,33.749351501464844,90.74465942382812,3.535128355026245,42.859962463378906,55.208614349365234,,65.68498229980469,72.59229278564453,91.30889129638672,26.858074188232422,31.68950080871582
2016-01-06 00:00:00,75.62576293945312,82.77830505371094,63.00065231323242,54.47520065307617,57.75655746459961,13.882637977600098,41.476585388183594,81.0199966430664,40.04999923706055,75.23999786376953,39.04999923706055,32.53218460083008,,36.54069519042969,39.95907974243164,68.16000366210938,,,159.69491577148438,,52.66361618041992,47.444679260253906,38.31450271606445,83.38499450683594,49.220001220703125,37.740779876708984,36.503299713134766,174.63121032714844,32.41238784790039,32.21440887451172,23.01211929321289,,61.091190338134766,33.566925048828125,89.35670471191406,3.5170462131500244,42.04150390625,54.23933029174805,,63.09013748168945,71.64053344726562,89.67854309082031,25.897375106811523,31.63249969482422
2016-01-07 00:00:00,74.16803741455078,81.81356048583984,62.450435638427734,53.267601013183594,57.23655700683594,13.3818941116333,41.35371017456055,80.55000305175781,40.5099983215332,72.66000366210938,37.75,31.914031982421875,,35.689083099365234,39.608428955078125,67.62000274658203,,,155.80543518066406,,51.778202056884766,47.08518600463867,37.45762634277344,82.1696548461914,48.790000915527344,35.68171691894531,35.57964324951172,170.4415283203125,32.2343864440918,31.401159286499023,22.040903091430664,,60.64918518066406,33.011695861816406,87.7198486328125,3.471839189529419,40.84217071533203,52.73695755004883,,60.85444259643555,70.23190307617188,85.88984680175781,24.837297439575195,30.39699935913086
2016-01-08 00:00:00,73.19890594482422,80.93952941894531,61.47135543823242,52.734188079833984,57.048274993896484,13.12289047241211,40.226070404052734,78.1500015258789,39.880001068115234,69.72000122070312,36.90999984741211,31.462305068969727,,35.454463958740234,38.93760681152344,67.66999816894531,,,154.1498565673828,,51.26011276245117,46.42757034301758,37.50470733642578,80.731689453125,49.29999923706055,35.16695022583008,35.71159362792969,168.5706329345703,31.921077728271484,30.828580856323242,22.157451629638672,,59.90623474121094,32.92444610595703,86.04472351074219,3.4447150230407715,40.16146469116211,51.396114349365234,,60.202056884765625,69.36579895019531,83.44430541992188,24.456329345703125,30.352500915527344
2016-01-11 00:00:00,73.41513061523438,80.45303344726562,62.03776168823242,53.54170608520508,57.424835205078125,13.217860221862793,38.94664764404297,78.06999969482422,39.68000030517578,69.08999633789062,34.599998474121094,31.5891056060791,,35.871578216552734,39.067195892333984,67.2300033569336,,,154.16737365722656,,51.278968811035156,45.752418518066406,37.48587417602539,80.16575622558594,49.13999938964844,35.75893020629883,35.69274139404297,168.73753356933594,32.1062126159668,31.052629470825195,22.51622200012207,,59.7087516784668,32.97998046875,86.70519256591797,3.453756809234619,40.5909538269043,50.871089935302734,,59.205196380615234,70.35564422607422,84.1668472290039,25.052623748779297,30.886999130249023
2016-01-12 00:00:00,74.48844909667969,81.0054702758789,61.908287048339844,54.2529411315918,57.738624572753906,13.217860221862793,39.640567779541016,79.29000091552734,40.060001373291016,68.83000183105469,34.13999938964844,32.191410064697266,,35.836822509765625,39.45596694946289,67.44999694824219,,,155.44630432128906,,51.45793914794922,46.18206787109375,37.74953079223633,80.85228729248047,49.75,36.13642883300781,35.57021713256836,170.09898376464844,31.992284774780273,31.30158042907715,22.8430118560791,,60.56454849243164,33.40829086303711,87.52842712402344,3.426632881164551,41.6201171875,51.242637634277344,,60.21675491333008,71.15512084960938,84.45402526855469,25.09403419494629,30.894500732421875
2016-01-13 00:00:00,72.57415008544922,79.99949645996094,61.37425994873047,52.46006393432617,56.34895706176758,12.863887786865234,37.3835334777832,76.08999633789062,38.849998474121094,66.23999786376953,32.59000015258789,30.91547393798828,,34.06410217285156,38.61744689941406,66.12999725341797,,,151.6444854736328,,50.41238021850586,45.7962646484375,37.22222137451172,79.70188903808594,48.11000061035156,34.82378005981445,34.967010498046875,165.8566436767578,31.436893463134766,30.2559814453125,22.255708694458008,,59.0410270690918,33.194129943847656,85.3746566772461,3.3543033599853516,40.29923629760742,49.4979362487793,,59.61566162109375,69.57518768310547,80.69307708740234,25.251388549804688,29.090499877929688
2016-01-14 00:00:00,73.00666809082031,81.54147338867188,61.61700439453125,52.408203125,56.74345016479492,12.941590309143066,39.85239791870117,75.6500015258789,39.38999938964844,62.9900016784668,33.45000076293945,31.644596099853516,,33.91636276245117,39.48646926879883,67.44999694824219,,,154.1060028076172,,50.77973556518555,46.97119903564453,37.56120681762695,81.07492065429688,49.45000076293945,35.48440170288086,35.36286544799805,168.57943725585938,31.949562072753906,30.762178421020508,22.742460250854492,,59.44541931152344,33.21792221069336,86.82964324951172,3.363344430923462,41.03664779663086,51.2991828918457,,62.65031051635742,70.24140930175781,81.62869262695312,25.09403419494629,29.649999618530273
2016-01-15 00:00:00,72.11761474609375,79.98302459716797,60.67029571533203,51.26727294921875,56.40275955200195,12.484014511108398,41.88299560546875,74.25,37.790000915527344,64.19999694824219,32.0,30.947181701660156,,33.447113037109375,38.98334884643555,66.47000122070312,,,150.8035125732422,,49.87547302246094,45.77873992919922,35.461395263671875,79.86888122558594,47.83000183105469,34.58355712890625,33.30820083618164,164.96067810058594,31.636259078979492,29.691686630249023,22.196290969848633,,58.79651641845703,32.916526794433594,84.9151840209961,3.2819738388061523,39.561790466308594,50.70954132080078,,61.3309211730957,68.36642456054688,79.6556167602539,24.48946189880371,28.509000778198242
