Security,Unnamed: 1,Imputed Share Price,Prev Shares,Current Shares,Change (Percent),Prev Value (USD x1000),Current Value (USD x1000),Change (Percent).1,symbol
AXP / American Express Co.,,138.62,151610700.0,151610700,0.0,28351201.0,21016276,-25.87,AXP
KHC / Kraft Heinz Co,,38.14,325634818.0,325634818,0.0,12826755.0,12419712,-3.17,KHC
"LSXMA / Liberty Media, Sirius XM Group Series A",,36.04,20207680.0,20207680,0.0,923692.0,728285,-21.15,LSXMA
MCK / Mckesson Corporation,,326.21,2921975.0,3198344,9.46,894504.0,1043331,16.64,MCK
CVX / Chevron Corp.,,144.78,159178117.0,161440149,1.42,25918973.0,23373304,-9.82,CVX
VRSN / Verisign Inc.,,167.33,12815613.0,12815613,0.0,2850961.0,2144436,-24.78,VRSN
TMUS / T-Mobile US Inc,,134.54,5242000.0,5242000,0.0,672811.0,705259,4.82,TMUS
NU HLDGS LTD / ORD SHS CL A (G6693N103),,3.74,,107118784,,,400624,,NU HLDGS LTD
RPRX / Royalty Pharma plc - Class A,,,1496372.0,0,-100.0,58299.0,0,-100.0,RPRX
RH / RH - Class A,,212.26,2170000.0,2170000,0.0,707615.0,460605,-34.91,RH
JNJ / Johnson & Johnson,,177.51,327100.0,327100,0.0,57972.0,58064,0.16,JNJ
USB / U.S. Bancorp,,46.02,126417887.0,119805135,-5.23,6719111.0,5513432,-17.94,USB
BK / Bank Of New York Mellon Corp,,41.71,72357453.0,72357453,0.0,3591100.0,3018027,-15.96,BK
STOR / Store Capital Corp,,26.08,14754811.0,6928413,-53.04,431283.0,180693,-58.1,STOR
OXY / Occidental Petroleum Corp.,,58.88,136373000.0,158549729,16.26,7737804.0,9335408,20.65,OXY
KR / Kroger Co.,,47.33,57985263.0,52437295,-9.57,3326615.0,2481858,-25.39,KR
"LSXMK / Liberty Media, Sirius XM Group Series C",,36.05,43208291.0,43208291,0.0,1975915.0,1557660,-21.17,LSXMK
GM / General Motors Company,,31.76,62045847.0,52877359,-14.78,2713886.0,1679385,-38.12,GM
GL / Globe Life Inc,,97.47,6353727.0,6353727,0.0,639185.0,619297,-3.11,GL
"FWONK / Liberty Media, Formula One Group Series C",,63.47,7722451.0,7722451,0.0,539336.0,490143,-9.12,FWONK
"MMC / Marsh & McLennan Cos., Inc.",,155.25,404911.0,404911,0.0,69005.0,62862,-8.9,MMC
LILAK / Liberty Latin America Ltd - Class C,,7.79,1284020.0,1284020,0.0,12314.0,10003,-18.77,LILAK
MDLZ / Mondelez International Inc. - Class A,,62.09,578000.0,578000,0.0,36287.0,35888,-1.1,MDLZ
LILA / Liberty Latin America Ltd - Class A,,7.8,2630792.0,2630792,0.0,25518.0,20520,-19.59,LILA
SPY / SPDR S&P 500 ETF Trust,,377.26,39400.0,39400,0.0,17795.0,14864,-16.47,SPY
"UPS / United Parcel Service, Inc. - Class B",,182.54,59400.0,59400,0.0,12739.0,10843,-14.88,UPS
FND / Floor & Decor Holdings Inc - Class A,,62.96,4780000.0,4780000,0.0,387180.0,300949,-22.27,FND
MA / Mastercard Incorporated - Class A,,315.48,3986648.0,3986648,0.0,1424748.0,1257708,-11.72,MA
LBRDA / Liberty Broadband Corp - Series A,,468.53,3828941.0,3828941,0.0,2088764.0,1793974,-14.11,LBRDA
SNOW / Snowflake Inc - Class A,,139.06,6125376.0,6125376,0.0,1403507.0,851795,-39.31,SNOW
VZ / Verizon Communications Inc,,,1380111.0,0,-100.0,70303.0,0,-100.0,VZ
KO / Coca Cola Co.,,62.91,400000000.0,400000000,0.0,24799999.0,25164000,1.47,KO
STNE / StoneCo Ltd - Class A,,7.7,10695448.0,10695448,0.0,125137.0,82355,-34.19,STNE
AAPL / Apple Inc,,136.72,890923410.0,894802319,0.44,155564138.0,122337373,-21.36,AAPL
VOO / Vanguard 500 Index Fund,,346.88,43000.0,43000,0.0,17852.0,14916,-16.45,VOO
ATVI / Activision Blizzard Inc,,77.86,64315222.0,68401150,6.35,5152292.0,5325713,3.37,ATVI
DVA / DaVita Inc,,79.96,36095570.0,36095570,0.0,4082770.0,2886202,-29.31,DVA
PARA / Paramount Global - Class B,,24.68,68947760.0,78421645,13.74,2606915.0,1935448,-25.76,PARA
ALLY / Ally Financial Inc,,33.51,8969420.0,30000000,234.47,389990.0,1005300,157.78,ALLY
HPQ / HP Inc,,32.78,104476035.0,104476035,0.0,3792480.0,3424725,-9.7,HPQ
BAC / Bank Of America Corp.,,31.13,1010100606.0,1010100606,0.0,41636348.0,31444432,-24.48,BAC
C / Citigroup Inc,,45.99,55155797.0,55155797,0.0,2945319.0,2536616,-13.88,C
CE / Celanese Corp - Series A,,117.61,7880998.0,9156714,16.19,1125958.0,1076922,-4.36,CE
V / Visa Inc - Class A,,196.89,8297460.0,8297460,0.0,1840128.0,1633687,-11.22,V
MCO / Moody's Corporation,,271.97,24669778.0,24669778,0.0,8323829.0,6709439,-19.39,MCO
PG / Procter & Gamble Co.,,143.79,315400.0,315400,0.0,48193.0,45351,-5.9,PG
AON / Aon plc. - Class A,,269.68,4396000.0,4396000,0.0,1431470.0,1185514,-17.18,AON
MKL / Markel Corp,,1293.25,420293.0,467611,11.26,620034.0,604738,-2.47,MKL
AMZN / Amazon.com Inc.,,106.21,533300.0,10666000,1900.0,1738531.0,1132836,-34.84,AMZN
