Security,Unnamed: 1,Imputed Share Price,Prev Shares,Current Shares,Change (Percent),Prev Value (USD x1000),Current Value (USD x1000),Change (Percent).1,symbol
"UPS / United Parcel Service, Inc. - Class B",,161.53,59400.0,59400,0.0,10843.0,9595,-11.51,UPS
CVX / Chevron Corp.,,143.67,161440149.0,165359318,2.43,23373304.0,23757173,1.64,CVX
GL / Globe Life Inc,,99.7,6353727.0,6353727,0.0,619297.0,633467,2.29,GL
"LSXMA / Liberty Media, Sirius XM Group Series A",,38.07,20207680.0,20207680,0.0,728285.0,769307,5.63,LSXMA
TMUS / T-Mobile US Inc,,134.17,5242000.0,5242000,0.0,705259.0,703319,-0.28,TMUS
BK / Bank Of New York Mellon Corp,,38.52,72357453.0,62210878,-14.02,3018027.0,2396364,-20.6,BK
"MMC / Marsh & McLennan Cos., Inc.",,149.29,404911.0,404911,0.0,62862.0,60449,-3.84,MMC
KO / Coca Cola Co.,,56.02,400000000.0,400000000,0.0,25164000.0,22407999,-10.95,KO
NU HLDGS LTD / ORD SHS CL A (G6693N103),,4.4,,107118784,,,471323,,NU HLDGS LTD
VRSN / Verisign Inc.,,173.7,12815613.0,12815613,0.0,2144436.0,2226072,3.81,VRSN
VOO / Vanguard 500 Index Fund,,328.3,43000.0,43000,0.0,14916.0,14117,-5.36,VOO
SNOW / Snowflake Inc - Class A,,169.96,6125376.0,6125376,0.0,851795.0,1041069,22.22,SNOW
AXP / American Express Co.,,134.91,151610700.0,151610700,0.0,21016276.0,20453800,-2.68,AXP
RH / RH - Class A,,246.07,2170000.0,2360000,8.76,460605.0,580724,26.08,RH
LILA / Liberty Latin America Ltd - Class A,,6.19,2630792.0,2630792,0.0,20520.0,16285,-20.64,LILA
KHC / Kraft Heinz Co,,33.35,325634818.0,325634818,0.0,12419712.0,10859921,-12.56,KHC
KR / Kroger Co.,,43.75,52437295.0,50268823,-4.14,2481858.0,2199260,-11.39,KR
V / Visa Inc - Class A,,177.65,8297460.0,8297460,0.0,1633687.0,1474044,-9.77,V
"LSXMK / Liberty Media, Sirius XM Group Series C",,37.71,43208291.0,43208291,0.0,1557660.0,1629386,4.6,LSXMK
STNE / StoneCo Ltd - Class A,,9.53,10695448.0,10695448,0.0,82355.0,101928,23.77,STNE
"FWONK / Liberty Media, Formula One Group Series C",,58.5,7722451.0,7722451,0.0,490143.0,451764,-7.83,FWONK
FND / Floor & Decor Holdings Inc - Class A,,70.26,4780000.0,4780000,0.0,300949.0,335843,11.59,FND
JNJ / Johnson & Johnson,,163.36,327100.0,327100,0.0,58064.0,53435,-7.97,JNJ
LILAK / Liberty Latin America Ltd - Class C,,6.15,1284020.0,1284020,0.0,10003.0,7897,-21.05,LILAK
MDLZ / Mondelez International Inc. - Class A,,54.83,578000.0,578000,0.0,35888.0,31692,-11.69,MDLZ
SPY / SPDR S&P 500 ETF Trust,,357.18,39400.0,39400,0.0,14864.0,14073,-5.32,SPY
AAPL / Apple Inc,,138.2,894802319.0,894802319,0.0,122337373.0,123661679,1.08,AAPL
MA / Mastercard Incorporated - Class A,,284.34,3986648.0,3986648,0.0,1257708.0,1133563,-9.87,MA
STOR / Store Capital Corp,,,6928413.0,0,-100.0,180693.0,0,-100.0,STOR
LBRDA / Liberty Broadband Corp - Series A,,303.35,3828941.0,3828941,0.0,1793974.0,1161509,-35.25,LBRDA
GM / General Motors Company,,32.09,52877359.0,50000000,-5.44,1679385.0,1604500,-4.46,GM
MCK / Mckesson Corporation,,339.87,3198344.0,3198344,0.0,1043331.0,1087021,4.19,MCK
TSM / Taiwan Semiconductor Manufacturing - ADR,,68.56,,60060880,,,4117774,,TSM
USB / U.S. Bancorp,,40.32,119805135.0,77788214,-35.07,5513432.0,3136420,-43.11,USB
ATVI / Activision Blizzard Inc,,74.34,68401150.0,60141866,-12.07,5325713.0,4470946,-16.05,ATVI
DVA / DaVita Inc,,82.77,36095570.0,36095570,0.0,2886202.0,2987630,3.51,DVA
PARA / Paramount Global - Class B,,19.04,78421645.0,91216510,16.32,1935448.0,1736763,-10.27,PARA
ALLY / Ally Financial Inc,,27.83,30000000.0,30000000,0.0,1005300.0,834901,-16.95,ALLY
HPQ / HP Inc,,24.92,104476035.0,104476035,0.0,3424725.0,2603542,-23.98,HPQ
OXY / Occidental Petroleum Corp.,,61.45,158549729.0,194351650,22.58,9335408.0,11942909,27.93,OXY
BAC / Bank Of America Corp.,,30.2,1010100606.0,1010100606,0.0,31444432.0,30505039,-2.99,BAC
C / Citigroup Inc,,41.67,55155797.0,55155797,0.0,2536616.0,2298341,-9.39,C
CE / Celanese Corp - Series A,,90.34,9156714.0,9710183,6.04,1076922.0,877219,-18.54,CE
MCO / Moody's Corporation,,243.11,24669778.0,24669778,0.0,6709439.0,5997470,-10.61,MCO
JEF / Jefferies Group Inc,,29.5,,433558,,,12790,,JEF
PG / Procter & Gamble Co.,,126.25,315400.0,315400,0.0,45351.0,39819,-12.2,PG
AON / Aon plc. - Class A,,267.87,4396000.0,4396000,0.0,1185514.0,1177556,-0.67,AON
MKL / Markel Corp,,1084.22,467611.0,467611,0.0,604738.0,506993,-16.16,MKL
LPX / Louisiana-Pacific Corp.,,51.19,,5795906,,,296692,,LPX
AMZN / Amazon.com Inc.,,113.0,10666000.0,10666000,0.0,1132836.0,1205258,6.39,AMZN
