Date,SPY,EFA,IEF,LQD,VNQ,GLD,USO,HYG,IWD,VUG,IWN,IWO,IWB,SDY,USMV,MTUM,QUAL,LRGF
2016-01-04,176.56353759765625,47.21180725097656,93.75838470458984,90.91200256347656,59.145423889160156,102.88999938964844,87.83999633789062,55.546142578125,81.9751205444336,97.39717102050781,78.54393005371094,128.8363037109375,98.79871368408203,58.2894172668457,36.034217834472656,65.3947525024414,56.49863052368164,20.771146774291992
2016-01-05,176.86216735839844,47.138328552246094,93.73186492919922,90.95980072021484,60.286746978759766,103.18000030517578,85.27999877929688,55.6501579284668,82.13616180419922,97.41580963134766,78.9012680053711,128.91233825683594,98.9933853149414,58.530372619628906,36.278533935546875,65.70441436767578,56.649600982666016,20.946796417236328
2016-01-06,174.63121032714844,46.362613677978516,94.29772186279297,91.31884765625,60.12154006958008,104.66999816894531,80.87999725341797,55.6501579284668,80.88180541992188,96.3447036743164,77.97750091552734,126.61321258544922,97.68385314941406,57.85568618774414,36.05167007446289,65.35834503173828,55.97468185424805,20.63062286376953
2016-01-07,170.4415283203125,45.39912033081055,94.5010757446289,91.3906478881836,58.95021057128906,106.1500015258789,79.19999694824219,55.289573669433594,78.97480010986328,93.86715698242188,75.90343475341797,123.06000518798828,95.30369567871094,56.69101333618164,35.46710205078125,63.901275634765625,54.642574310302734,20.226619720458984
2016-01-08,168.57066345214844,44.8520393371582,94.7398452758789,91.46244812011719,58.161808013916016,105.68000030517578,78.4000015258789,55.1439323425293,77.95772552490234,92.99161529541016,74.6747055053711,120.93189239501953,94.31266784667969,56.14480972290039,35.10935974121094,63.2911376953125,54.02093505859375,20.082582473754883
2016-01-11,168.73756408691406,45.03983688354492,94.439208984375,91.16722869873047,58.49216079711914,104.73999786376953,74.0,55.06073760986328,77.92383575439453,93.08476257324219,74.6485824584961,119.91534423828125,94.25076293945312,56.12875747680664,35.16171646118164,63.673622131347656,54.10086441040039,19.755870819091797
2016-01-12,170.09901428222656,45.25212860107422,94.86361694335938,91.3746566772461,58.10173034667969,104.20999908447266,73.36000061035156,55.11619186401367,78.37303924560547,93.941650390625,74.44815063476562,120.97937774658203,94.98518371582031,56.42594528198242,35.34494400024414,64.35659790039062,54.651466369628906,20.056230545043945
2016-01-13,165.85659790039062,44.549922943115234,95.23495483398438,91.6539306640625,57.268272399902344,104.72000122070312,72.72000122070312,54.50593185424805,76.71184539794922,91.13813018798828,72.34793090820312,116.48565673828125,92.5519027709961,55.43798828125,34.78655242919922,62.37137222290039,53.41706085205078,19.594263076782227
2016-01-14,168.57943725585938,45.12149429321289,95.04044342041016,91.19921112060547,57.133113861083984,103.0199966430664,73.83999633789062,54.748653411865234,77.92383575439453,92.54454040527344,73.14967346191406,118.54725646972656,94.00301361083984,56.16088104248047,35.14426803588867,63.07257080078125,54.216312408447266,19.818225860595703
2016-01-15,164.96070861816406,43.48843002319336,95.48249816894531,91.06352996826172,56.74268341064453,104.08000183105469,70.31999969482422,54.02743911743164,76.1948013305664,90.65379333496094,71.91219329833984,116.5331802368164,92.00332641601562,55.41388702392578,34.69056701660156,61.87960433959961,53.150630950927734,19.452857971191406
2016-01-19,165.18026733398438,43.88853454589844,95.35872650146484,90.65670013427734,57.04301452636719,103.9800033569336,67.91999816894531,53.8402099609375,76.00835418701172,90.6631088256836,71.17145538330078,114.7565689086914,92.02101135253906,55.60667037963867,34.9261474609375,62.316715240478516,53.212791442871094,19.436168670654297
2016-01-20,163.0634307861328,42.89236068725586,95.82733154296875,90.79230499267578,55.51124954223633,105.37000274658203,65.91999816894531,53.47962951660156,74.77095031738281,89.98318481445312,71.08432006835938,115.92511749267578,90.98579406738281,54.948020935058594,34.385196685791016,61.73390579223633,52.555633544921875,19.269304275512695
2016-01-21,163.9769287109375,43.21080780029297,95.588623046875,90.52899169921875,55.819095611572266,105.48999786376953,68.4800033569336,53.8402099609375,75.1607894897461,90.42095184326172,71.06688690185547,115.32660675048828,91.3927993774414,55.164894104003906,34.48990249633789,61.9433479309082,52.786521911621094,19.313215255737305
2016-01-22,167.34100341796875,44.48459243774414,95.37642669677734,90.58486938476562,57.373409271240234,105.0,74.16000366210938,54.665462493896484,76.6101303100586,92.59112548828125,72.66165924072266,118.2907485961914,93.29515075683594,56.168922424316406,35.14426803588867,63.16365051269531,53.93212890625,19.726001739501953
2016-01-25,164.81141662597656,43.88853454589844,95.6947021484375,90.48912048339844,57.01299285888672,106.08000183105469,68.31999969482422,54.1245231628418,75.1947250366211,91.36166381835938,70.88389587402344,116.06763458251953,91.84404754638672,55.37373352050781,34.847618103027344,62.48975372314453,53.106224060058594,19.418607711791992
2016-01-26,167.05992126464844,44.67240524291992,95.76545715332031,90.74441528320312,58.20685577392578,107.29000091552734,71.76000213623047,54.60997009277344,76.6101303100586,92.30236053466797,72.71393585205078,117.65422058105469,93.18014526367188,56.47414779663086,35.30131912231445,63.036155700683594,53.896602630615234,19.646957397460938
2016-01-27,165.24172973632812,44.38661575317383,95.8361587524414,90.49710845947266,57.080562591552734,107.69000244140625,73.44000244140625,54.52675247192383,76.22025299072266,90.6631088256836,72.13875579833984,115.29810333251953,92.127197265625,56.2010498046875,35.100650787353516,62.098167419433594,53.221675872802734,19.392255783081055
2016-01-28,166.1025390625,44.51726150512695,95.95999908447266,90.6008071899414,56.645057678222656,106.54000091552734,77.5999984741211,54.804141998291016,76.54232025146484,91.14742279052734,72.62678527832031,114.5665512084961,92.4899673461914,56.610687255859375,35.14426803588867,62.99972915649414,53.408164978027344,19.4537353515625
