Date,SPY,EFA,IEF,LQD,VNQ,GLD,USO,HYG,IWD,VUG,IWN,IWO,IWB,SDY,USMV,MTUM,QUAL,LRGF
2017-01-03,202.08526611328125,48.90789031982422,94.2505874633789,96.68609619140625,65.21165466308594,110.47000122070312,91.5199966430664,63.638389587402344,97.94740295410156,106.06475830078125,106.39225769042969,148.4347686767578,113.20398712158203,71.27925109863281,40.4509162902832,70.28162384033203,62.76593780517578,23.882366180419922
2017-01-04,203.28746032714844,49.463565826416016,94.35857391357422,97.01585388183594,66.16464233398438,110.86000061035156,92.63999938964844,63.98255157470703,98.59846496582031,106.95276641845703,108.07241821289062,151.14178466796875,113.9620361328125,71.89401245117188,40.63829040527344,70.69731140136719,63.11763000488281,24.14031219482422
2017-01-05,203.1260223388672,49.88454055786133,94.97026062011719,97.53521728515625,66.37726593017578,112.58000183105469,93.5999984741211,63.887359619140625,98.20783233642578,107.17000579833984,106.44557189941406,149.84593200683594,113.86275482177734,71.6613998413086,40.682899475097656,70.92826843261719,63.05449676513672,24.095844268798828
2017-01-06,203.85275268554688,49.716148376464844,94.5384750366211,97.0240707397461,66.38513946533203,111.75,93.44000244140625,63.87272644042969,98.34672546386719,107.98240661621094,106.08997344970703,149.35629272460938,114.32301330566406,71.7361831665039,40.73642349243164,71.33472442626953,63.270965576171875,24.086950302124023
2017-01-09,203.17984008789062,49.640377044677734,94.89828491210938,97.21369934082031,65.78659057617188,112.66999816894531,90.4800033569336,63.858070373535156,97.68696594238281,107.94461059570312,104.75653076171875,149.2698974609375,113.88084411621094,71.10480499267578,40.5401496887207,71.30702209472656,62.95530319213867,23.944637298583984
2017-01-10,203.17984008789062,49.64879608154297,94.85332489013672,97.15599822998047,65.2273941040039,113.1500015258789,88.55999755859375,63.8653564453125,97.66093444824219,107.98240661621094,105.9566421508789,150.4890594482422,113.9530258178711,71.13802337646484,40.48661422729492,71.27008056640625,62.856109619140625,24.00689697265625
2017-01-11,203.75405883789062,49.9097900390625,94.96129608154297,97.30438995361328,64.82574462890625,113.5,90.95999908447266,63.9019889831543,98.06892395019531,108.02963256835938,106.32111358642578,150.40261840820312,114.25083923339844,71.40385437011719,40.61152267456055,71.5009994506836,62.89217758178711,24.024688720703125
2017-01-12,203.24266052246094,49.985572814941406,95.01529693603516,97.29615020751953,65.15653991699219,113.91000366210938,92.31999969482422,63.916622161865234,97.8084945678711,107.99188232421875,105.11211395263672,149.74993896484375,113.9530258178711,71.31249237060547,40.60260009765625,71.41787719726562,62.82004165649414,23.986440658569336
2017-01-13,203.70919799804688,50.17079162597656,94.80835723876953,97.09828186035156,65.06201171875,114.20999908447266,91.27999877929688,63.9385871887207,97.93003845214844,108.2846908569336,105.78775024414062,151.12257385253906,114.23277282714844,71.4371109008789,40.62937927246094,71.59339141845703,62.82004165649414,24.040699005126953
2017-01-17,202.99147033691406,49.985572814941406,95.28512573242188,97.51871490478516,65.5660629272461,115.8499984741211,91.44000244140625,63.87272644042969,97.41785430908203,108.15243530273438,104.40093231201172,148.8283233642578,113.85374450683594,71.41219329833984,40.754276275634766,71.4271240234375,62.856109619140625,23.98021125793457
2017-01-18,203.44004821777344,49.84244155883789,94.61042785644531,96.87570190429688,65.67633056640625,114.87000274658203,89.27999877929688,63.931278228759766,97.60881805419922,108.52082824707031,104.76544189453125,149.38511657714844,114.11546325683594,71.53679656982422,40.78996276855469,71.63957214355469,62.964317321777344,24.03357696533203
2017-01-19,202.68638610839844,49.716148376464844,94.2505874633789,96.54593658447266,65.00688171386719,114.7699966430664,89.36000061035156,63.72624969482422,97.20083618164062,108.21856689453125,103.92980194091797,148.07958984375,113.65522003173828,71.10480499267578,40.56691360473633,71.55643463134766,62.6486930847168,23.926841735839844
2017-01-20,203.43109130859375,50.002403259277344,94.29558563232422,96.71906280517578,65.47945404052734,115.05000305175781,91.12000274658203,63.85072326660156,97.68696594238281,108.38861083984375,104.46319580078125,148.7323455810547,114.04327392578125,71.34571075439453,40.70966339111328,71.7042465209961,62.82004165649414,23.9713191986084
2017-01-23,202.90171813964844,50.128700256347656,94.79036712646484,97.16424560546875,66.0307388305664,115.79000091552734,90.55999755859375,63.85072326660156,97.18346405029297,108.3319320678711,104.09867858886719,148.1563720703125,113.76348876953125,71.24603271484375,40.69182586669922,71.54718780517578,62.72983932495117,23.98021125793457
2017-01-24,204.20265197753906,50.25498580932617,94.4305419921875,96.87570190429688,66.0465087890625,115.2699966430664,90.95999908447266,63.89463806152344,97.98211669921875,108.91761779785156,105.7521743774414,150.25868225097656,114.54863739013672,71.8026351928711,40.78996276855469,72.12920379638672,63.153709411621094,24.220369338989258
2017-01-25,205.97018432617188,50.77698516845703,93.96273803710938,96.5047378540039,65.61332702636719,114.31999969482422,90.4800033569336,64.12165832519531,98.82415771484375,109.90001678466797,106.88119506835938,151.76573181152344,115.50524139404297,72.23463439941406,40.92377853393555,72.72039794921875,63.685760498046875,24.460525512695312
2017-01-26,205.75482177734375,50.574920654296875,94.08868408203125,96.6201171875,65.4873275756836,113.26000213623047,92.23999786376953,64.09239196777344,98.71131134033203,109.78668975830078,106.52560424804688,150.86341857910156,115.35183715820312,72.11832427978516,40.861331939697266,72.6187744140625,63.5324592590332,24.33600616455078
2017-01-27,205.43185424804688,50.49072265625,94.2056655883789,96.73556518554688,64.84938049316406,113.48999786376953,91.19999694824219,64.15094757080078,98.4161605834961,109.65442657470703,105.99222564697266,150.50820922851562,115.20741271972656,71.84416961669922,40.879173278808594,72.72966003417969,63.442283630371094,24.273738861083984
